v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters
,,,,,,,,,,,,,,,,,,,,1,,Contato,1,
,,,,,,,,,,,,,,,,,,,,2,1,Canais de atendimento,1,
,Abrir página no Facebook pela seção de contato,Validar segundo canal social para dúvidas e relacionamento com a marca.,Seção de contato acessível.,,redes-sociais,medium,,,,,,,,classic,1. Clicar no botão Facebook na seção de contato,1. A página da empresa no Facebook é aberta para o visitante,,,,2,1,Canais de atendimento,,
,Abrir perfil no Instagram pela seção de contato,Garantir canal alternativo para clientes que preferem rede social visual.,Navegador permite abrir links externos; seção de contato acessível.,,redes-sociais,medium,,,,,,,,classic,1. Clicar no botão Instagram na seção de contato,1. O perfil da empresa no Instagram é aberto em nova aba ou no aplicativo,,,,2,1,Canais de atendimento,,
,Acessar WhatsApp pelo ícone no topo da página,Confirmar atalho permanente para contato rápido em qualquer momento da navegação.,Site aberto em qualquer seção com cabeçalho visível.,,"conversao,regressao",high,,,,,,,,classic,"1. No topo da página, clicar no ícone do WhatsApp",1. O WhatsApp é aberto com possibilidade de iniciar conversa com a empresa,,,,2,1,Canais de atendimento,,
,Iniciar conversa no WhatsApp com mensagem de orçamento,Validar o principal fluxo de conversão para solicitação de orçamento de evento.,Dispositivo com WhatsApp instalado ou WhatsApp Web disponível; seção de contato acessível.,,"happy-path,conversao,regressao",high,,,,,,,,classic,"1. Na seção Entre em Contato, clicar no botão WhatsApp",1. Abre o WhatsApp com conversa para o número da empresa e mensagem inicial solicitando orçamento para evento,,,,2,1,Canais de atendimento,,
,,,,,,,,,,,,,,,,,,,,3,1,Informações adicionais,1,
,Exibir cidade de atendimento,Validar que o visitante identifica a região atendida pela empresa.,Seção de contato acessível.,,informacao,medium,,,,,,,,classic,1. Localizar o bloco Informações Adicionais na seção de contato,"1. O texto Blumenau, Santa Catarina é exibido",,,,3,1,Informações adicionais,,
,Exibir disponibilidade de atendimento,Garantir clareza sobre dias em que a empresa pode ser contatada.,Seção de contato acessível.,,informacao,medium,,,,,,,,classic,1. Ler as informações no bloco Informações Adicionais,1. É exibido Atendimento: Segunda a Segunda,,,,3,1,Informações adicionais,,
,,,,,,,,,,,,,,,,,,,,4,1,Por que nos escolher,1,
,Exibir lista de vantagens comerciais,Validar argumentos de venda exibidos antes do visitante sair do site.,Seção de contato acessível.,,comercial,medium,,,,,,,,classic,1. Localizar o bloco Por que nos escolher?,"1. São exibidos itens sobre experiência, ingredientes, atendimento, preços competitivos e pontualidade garantida",,,,4,1,Por que nos escolher,,
,,,,,,,,,,,,,,,,,,,,5,,Navegação,1,
,,,,,,,,,,,,,,,,,,,,6,5,Menu em dispositivo móvel,1,
,Abrir o menu em tela de celular,Garantir que usuários em celular consigam acessar todas as seções quando o menu principal está recolhido.,Site aberto em celular ou navegador com largura de tela de smartphone.,,"mobile,happy-path",high,,,,,,,,classic,1. Tocar no ícone de menu (três linhas) no topo da página,"1. As opções Início, Serviços, Sobre e Contato ficam visíveis para seleção",,,,6,5,Menu em dispositivo móvel,,
,Fechar o menu após escolher uma seção,Validar que o menu mobile não permanece aberto cobrindo o conteúdo após a navegação.,Site aberto em tela de celular com menu mobile disponível.,,"mobile,usabilidade",medium,,,,,,,,classic,1. Abrir o menu mobile e tocar em Contato,1. O menu fecha e a seção de contato é exibida em tela cheia,,,,6,5,Menu em dispositivo móvel,,
,,,,,,,,,,,,,,,,,,,,7,5,Menu principal,1,
,Acessar a seção Contato pelo menu superior,Validar o caminho principal para o visitante que deseja solicitar orçamento ou tirar dúvidas.,Site aberto na página inicial.,,"happy-path,regressao",high,,,,,,,,classic,1. Clicar em Contato no menu superior,"1. A seção Entre em Contato é exibida com botões de WhatsApp, Instagram e Facebook",,,,7,5,Menu principal,,
,Acessar a seção Início pelo menu superior,Validar que o visitante consegue voltar ao topo e à apresentação principal usando o menu fixo do site.,Site aberto em navegador de internet em computador ou tablet com menu completo visível.,,"happy-path,regressao",high,,,,,,,,classic,"1. Rolar a página até a seção de Contato para sair do topo
2. Clicar em Início no menu superior","1. A seção de contato fica visível na tela
2. A página rola até o topo e o título principal Fabiano Fernandes Eventos fica visível",,,,7,5,Menu principal,,
,Acessar a seção Serviços pelo menu superior,Garantir que o menu leva o usuário diretamente à listagem de tipos de evento oferecidos.,Site carregado com sucesso na página inicial.,,happy-path,high,,,,,,,,classic,1. Clicar em Serviços no menu superior,1. A seção Nossos Serviços é exibida com os cartões de tipos de evento,,,,7,5,Menu principal,,
,Acessar a seção Sobre pelo menu superior,Confirmar que o visitante encontra a história e os diferenciais da empresa pelo menu.,Site aberto na página inicial.,,happy-path,medium,,,,,,,,classic,1. Clicar em Sobre no menu superior,1. A seção Sobre Fabiano Fernandes Eventos com texto institucional fica visível,,,,7,5,Menu principal,,
,Destacar no menu a seção em que o usuário está,Verificar se o visitante identifica em qual parte do site está ao rolar a página.,Site aberto com menu superior visível.,,usabilidade,low,,,,,,,,classic,1. Rolar lentamente a página até a área de Serviços ficar centralizada na tela,1. O item Serviços no menu aparece destacado em relação aos demais itens,,,,7,5,Menu principal,,
,,,,,,,,,,,,,,,,,,,,8,5,Rodapé,1,
,Acessar tipos de serviço pelos links do rodapé,Confirmar que os atalhos do rodapé ajudam o visitante a revisar os serviços sem usar o menu superior.,Página totalmente carregada; usuário na parte inferior do site.,,rodape,medium,,,,,,,,classic,"1. No rodapé, clicar no link Casamentos em Nossos Serviços",1. A página posiciona na seção de serviços e o cartão de Casamentos fica acessível na tela,,,,8,5,Rodapé,,
,Visualizar telefone no rodapé,Garantir que o visitante encontra o telefone da empresa mesmo após rolar até o final da página.,Site aberto; usuário rola até o rodapé.,,"contato,regressao",high,,,,,,,,classic,1. Localizar a área Contato no rodapé,1. O número (47) 99172-7277 é exibido de forma legível,,,,8,5,Rodapé,,
,,,,,,,,,,,,,,,,,,,,9,,Página inicial,1,
,,,,,,,,,,,,,,,,,,,,10,9,Apresentação,1,
,Exibir proposta principal na abertura do site,Validar a primeira impressão do visitante sobre o negócio de buffet e churrasco para eventos.,Primeiro acesso ao endereço do site em sessão nova.,,"happy-path,regressao",high,,,,,,,,classic,1. Abrir o site e aguardar o carregamento completo,"1. São exibidos o nome Fabiano Fernandes Eventos, a frase sobre buffet e churrasco e o botão Entre em Contato na primeira tela",,,,10,9,Apresentação,,
,Ir para contato pelo botão principal da tela inicial,Confirmar o principal convite à ação para visitantes interessados em orçamento.,Usuário na tela inicial do site.,,"happy-path,conversao",high,,,,,,,,classic,1. Clicar no botão Entre em Contato na área principal,"1. A seção de contato é exibida com os canais WhatsApp, Instagram e Facebook",,,,10,9,Apresentação,,
,,,,,,,,,,,,,,,,,,,,11,9,Rolagem,1,
,Descer para serviços pelo indicador na tela inicial,Validar alternativa de navegação para quem deseja conhecer os serviços a partir do topo.,Usuário na tela inicial com o texto Role para baixo visível.,,usabilidade,low,,,,,,,,classic,1. Clicar em Role para baixo na tela inicial,1. A seção Nossos Serviços é exibida na tela,,,,11,9,Rolagem,,
,,,,,,,,,,,,,,,,,,,,12,,Redes sociais,1,
,,,,,,,,,,,,,,,,,,,,13,12,Cabeçalho,1,
,Acessar Facebook pelo topo da página,Validar segundo atalho social fixo no topo para ampliar canais de contato.,Cabeçalho do site visível.,,,medium,,,,,,,,classic,1. Clicar no ícone do Facebook no cabeçalho,1. A página da empresa no Facebook é aberta para o visitante,,,,13,12,Cabeçalho,,
,Acessar Instagram pelo topo da página,Garantir atalho de rede social disponível durante toda a navegação.,Cabeçalho do site visível.,,,medium,,,,,,,,classic,1. Clicar no ícone do Instagram no cabeçalho,1. O perfil da empresa no Instagram é aberto para o visitante,,,,13,12,Cabeçalho,,
,,,,,,,,,,,,,,,,,,,,14,,Rodapé,1,
,,,,,,,,,,,,,,,,,,,,15,14,Informações e direitos,1,
,Exibir aviso de direitos autorais,Validar informação legal visível ao visitante na parte inferior do site.,Rodapé visível na tela.,,rodape,low,,,,,,,,classic,1. Verificar a linha final do rodapé,1. É exibido copyright 2025 Fabiano Fernandes Eventos com menção a todos os direitos reservados,,,,15,14,Informações e direitos,,
,Exibir resumo da marca no rodapé,Confirmar reforço da proposta de valor ao final da leitura da página.,Usuário rola até o final do site.,,rodape,low,,,,,,,,classic,1. Ler o texto ao lado da logomarca no rodapé,1. É exibido texto sobre especialistas em buffet e churrasco e celebrações inesquecíveis,,,,15,14,Informações e direitos,,
,,,,,,,,,,,,,,,,,,,,16,,Serviços,1,
,,,,,,,,,,,,,,,,,,,,17,16,Aniversários,1,
,Apresentar flexibilidade para festas de aniversário,Confirmar opções para festas em diferentes idades e formatos.,Seção de serviços acessível.,,aniversario,medium,,,,,,,,classic,1. Localizar o cartão Aniversários e ler o conteúdo,"1. São exibidos cardápios por idade, churrasco para família, finger foods e flexibilidade de local",,,,17,16,Aniversários,,
,,,,,,,,,,,,,,,,,,,,18,16,Casamentos,1,
,Apresentar benefícios do serviço de casamento,Validar informações para noivos que buscam buffet e churrasco no casamento.,Seção de serviços acessível.,,casamento,medium,,,,,,,,classic,1. Localizar o cartão Casamentos e ler o conteúdo,"1. São exibidos buffet com pratos quentes e frios, churrasco com carnes nobres e serviço de garçons especializados",,,,18,16,Casamentos,,
,,,,,,,,,,,,,,,,,,,,19,16,Churrascos em geral,1,
,Apresentar estrutura para churrascos avulsos,Garantir clareza para clientes que contratam apenas churrasco em qualquer ocasião.,Seção de serviços acessível.,,churrasco,medium,,,,,,,,classic,1. Localizar o cartão Churrascos em Geral e ler o conteúdo,"1. São exibidos carnes selecionadas, acompanhamentos tradicionais, churrasqueiro experiente e equipamentos próprios",,,,19,16,Churrascos em geral,,
,,,,,,,,,,,,,,,,,,,,20,16,Festas corporativas,1,
,Apresentar proposta para eventos empresariais,Validar mensagem voltada a empresas que precisam de evento profissional e discreto.,Seção de serviços acessível.,,corporativo,medium,,,,,,,,classic,1. Localizar o cartão Festas Corporativas e ler o conteúdo,"1. São exibidos cardápio executivo, churrasco premium, serviço discreto e experiência em eventos empresariais",,,,20,16,Festas corporativas,,
,,,,,,,,,,,,,,,,,,,,21,16,Formaturas,1,
,Apresentar opções do serviço de formatura,Garantir que formandos vejam variedade de cardápio e opções para diferentes perfis de convidados.,Seção de serviços acessível.,,formatura,medium,,,,,,,,classic,1. Localizar o cartão Formaturas e ler o conteúdo,"1. São exibidos buffet variado, churrasco tradicional, opções vegetarianas e serviço de bar completo",,,,21,16,Formaturas,,
,,,,,,,,,,,,,,,,,,,,22,16,Primeira Comunhão,1,
,Apresentar cardápio familiar para primeira comunhão,Validar comunicação adequada para eventos religiosos e familiares com crianças.,Seção de serviços acessível.,,comunhao,medium,,,,,,,,classic,1. Localizar o cartão Primeira Comunhão e ler o conteúdo,"1. São exibidos cardápio familiar e acolhedor, opções para crianças e churrasco suave e saboroso",,,,22,16,Primeira Comunhão,,
,,,,,,,,,,,,,,,,,,,,23,16,Visão geral,1,
,Exibir título e texto introdutório dos serviços,Garantir contexto claro antes da leitura dos tipos de evento atendidos.,Usuário navega até a seção Serviços.,,happy-path,medium,,,,,,,,classic,1. Acessar a seção Serviços pelo menu ou rolagem,1. Os títulos Nossos Serviços e o texto sobre buffet e churrasco para todos os tipos de evento são exibidos,,,,23,16,Visão geral,,
,Listar os seis tipos de evento atendidos,Confirmar que o portfólio completo de serviços está visível para comparação pelo cliente.,Seção de serviços visível na tela.,,regressao,high,,,,,,,,classic,1. Rolar pelos cartões na área de serviços,"1. São exibidos os seis tipos: Casamentos, Formaturas, Primeira Comunhão, Aniversários, Festas Corporativas e Churrascos em Geral",,,,23,16,Visão geral,,
,,,,,,,,,,,,,,,,,,,,24,,Sobre,1,
,,,,,,,,,,,,,,,,,,,,25,24,História e diferenciais,1,
,Exibir texto institucional da empresa,Validar que o visitante entende a experiência e o foco em atendimento personalizado.,Site carregado; usuário acessa a seção Sobre.,,institucional,medium,,,,,,,,classic,1. Ler os parágrafos na seção Sobre Fabiano Fernandes Eventos,"1. Textos sobre experiência em eventos, buffet, churrasco e atendimento personalizado são exibidos de forma legível",,,,25,24,História e diferenciais,,
,Exibir três diferenciais em destaque,Confirmar reforço dos principais argumentos de confiança antes do contato.,Seção Sobre visível na tela.,,institucional,medium,,,,,,,,classic,1. Verificar os destaques abaixo do texto institucional,"1. Aparecem chef especializado em churrasco, mais de 25 anos de experiência e atendimento personalizado",,,,25,24,História e diferenciais,,
,,,,,,,,,,,,,,,,,,,,26,24,Imagem,1,
,Exibir foto do chef na seção Sobre,Garantir elemento visual que humaniza a marca e reforça credibilidade.,Seção Sobre acessível.,,institucional,low,,,,,,,,classic,1. Observar a área visual ao lado do texto na seção Sobre,1. A foto do chef Fabiano Fernandes é exibida corretamente,,,,26,24,Imagem,,
